number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
0,inf,2026-02-11 22:47:59.932340,2026-02-11 22:47:59.949418,0 days 00:00:00.017078,32,0.18012931121174408,0.4246376248898365,3,0.007027019122754872,0.0027922133130790848,"[256, 256]",10,18,1.056526508740203e-05,COMPLETE
1,inf,2026-02-11 22:48:00.226060,2026-02-11 22:48:00.234587,0 days 00:00:00.008527,64,0.2781614331301506,0.2280299262523953,2,0.00035230976765284486,0.004183991320937839,[256],5,6,4.459222134519694e-06,COMPLETE
2,inf,2026-02-11 22:48:00.237334,2026-02-11 22:48:00.241334,0 days 00:00:00.004000,32,0.2969845100248468,0.38682163156707816,3,2.573848078353802e-05,0.0027257599950559954,"[256, 256]",10,6,9.413536248445449e-06,COMPLETE
3,inf,2026-02-11 22:48:00.257940,2026-02-11 22:48:00.259940,0 days 00:00:00.002000,64,0.1626315528843461,0.4277300282041418,4,0.00010893024179918024,0.0013499936009127589,[64],5,12,1.7952451567118597e-06,COMPLETE
4,inf,2026-02-11 22:48:00.515357,2026-02-11 22:48:00.521186,0 days 00:00:00.005829,16,0.23006058061242357,0.35088642595229,3,0.00033543185786597386,0.0030888745446504707,"[64, 64]",10,24,3.7601943114213497e-05,COMPLETE
5,inf,2026-02-11 22:48:01.103073,2026-02-11 22:48:01.106488,0 days 00:00:00.003415,32,0.2124113453217253,0.20388963731940063,3,0.0004673180046407225,0.013705379481076448,[128],5,6,8.052007864101989e-06,COMPLETE
6,inf,2026-02-11 22:48:01.107499,2026-02-11 22:48:01.108495,0 days 00:00:00.000996,64,0.2505277183380963,0.4921435678234348,2,3.5250564673810216e-05,0.02843362617912793,"[64, 64]",10,12,9.308872042472524e-06,COMPLETE
7,inf,2026-02-11 22:48:01.410921,2026-02-11 22:48:01.410921,0 days 00:00:00,64,0.15206322451052856,0.2287437040668925,2,1.5627427132745966e-05,0.0037212405016984655,"[256, 256, 256]",10,18,1.1080692735435845e-05,COMPLETE
8,inf,2026-02-11 22:48:01.914761,2026-02-11 22:48:01.916536,0 days 00:00:00.001775,64,0.3988148004747134,0.3576479948599145,4,0.0002457767368220712,0.013000822576685112,[256],10,18,2.268866352494443e-05,COMPLETE
9,inf,2026-02-11 22:48:01.916536,2026-02-11 22:48:01.921253,0 days 00:00:00.004717,16,0.15992730793350687,0.27385723135401174,3,0.0004116752127717905,0.0005644073717156815,[256],5,24,5.106675863114928e-06,COMPLETE
10,inf,2026-02-11 22:48:02.412852,2026-02-11 22:48:02.426418,0 days 00:00:00.013566,32,0.16830596786538923,0.3913913334557391,3,0.004293101367555992,0.005349921072382946,"[256, 256]",10,3,2.4704695834450173e-06,COMPLETE
11,inf,2026-02-11 22:48:02.428415,2026-02-11 22:48:02.444311,0 days 00:00:00.015896,32,0.1541965758799672,0.35630650340347364,3,0.0070215008283279114,0.002512981712633329,"[256, 256]",10,18,5.56616955704307e-05,COMPLETE
12,inf,2026-02-11 22:48:02.921667,2026-02-11 22:48:02.942796,0 days 00:00:00.021129,64,0.3283618789820619,0.30755875148705725,2,0.00047312722340273126,0.00457432316024354,"[128, 128, 128]",5,6,4.896339889797126e-06,COMPLETE
13,inf,2026-02-11 22:48:03.196040,2026-02-11 22:48:03.227879,0 days 00:00:00.031839,64,0.1676758687864154,0.29919530039308306,2,0.0010526547274094609,0.0014787985732083956,"[256, 256, 256]",5,6,1.1356278661178378e-06,COMPLETE
14,inf,2026-02-11 22:48:03.200038,2026-02-11 22:48:03.227208,0 days 00:00:00.027170,64,0.26175684039839825,0.24035361317777004,2,0.0016227271986013134,0.0007597256147768654,[256],5,6,3.504966678439189e-06,COMPLETE
15,inf,2026-02-11 22:48:03.482536,2026-02-11 22:48:03.508714,0 days 00:00:00.026178,64,0.11955822733823399,0.4957598865358125,3,0.003563050766975382,0.004463528310467936,"[64, 64]",10,18,8.729208082036479e-06,COMPLETE
16,inf,2026-02-11 22:48:04.022671,2026-02-11 22:48:04.047550,0 days 00:00:00.024879,64,0.30568844099398257,0.23360400842060072,5,1.8150756327798236e-05,0.007612016584959578,[256],5,6,1.54307527541786e-06,COMPLETE
17,inf,2026-02-11 22:48:04.303829,2026-02-11 22:48:04.343359,0 days 00:00:00.039530,16,0.3035243054008977,0.27086183081967147,2,0.0013048435542569016,0.02112672268068842,[256],5,12,1.5620211692429738e-06,COMPLETE
18,inf,2026-02-11 22:48:04.321598,2026-02-11 22:48:04.339359,0 days 00:00:00.017761,32,0.18770419242616698,0.4034463614115393,5,0.009964637465635853,0.005965631484813097,"[256, 256]",5,18,9.819847834339692e-06,COMPLETE
19,inf,2026-02-11 22:48:04.591382,2026-02-11 22:48:04.612566,0 days 00:00:00.021184,32,0.31507510039217473,0.4001545450207983,2,0.007291075334246648,0.000600267677628392,[256],10,18,1.0201187525712638e-05,COMPLETE
20,inf,2026-02-11 22:48:04.849830,2026-02-11 22:48:04.864406,0 days 00:00:00.014576,64,0.20727098139435973,0.2569942681646822,2,0.004416208428924843,0.0340688877767162,"[128, 128, 128]",5,6,1.015736028405891e-06,COMPLETE
21,inf,2026-02-11 22:48:05.114658,2026-02-11 22:48:05.137026,0 days 00:00:00.022368,32,0.3081508802294892,0.36797448230610325,5,4.918943942943547e-05,0.007192465684644395,"[256, 256]",10,6,1.6922195506293753e-05,COMPLETE
22,inf,2026-02-11 22:48:05.394543,2026-02-11 22:48:05.415738,0 days 00:00:00.021195,32,0.26392401963278317,0.4006434335914314,2,1.922282928042215e-05,0.0011412031446903007,"[128, 128, 128]",10,12,1.4913922982412222e-05,COMPLETE
23,inf,2026-02-11 22:48:05.661773,2026-02-11 22:48:05.687708,0 days 00:00:00.025935,32,0.28924980789913735,0.43607348958255654,3,8.274232626690785e-05,0.004559176060829472,[256],10,3,8.15440032534404e-06,COMPLETE
24,inf,2026-02-11 22:48:06.187414,2026-02-11 22:48:06.231675,0 days 00:00:00.044261,32,0.2524789642222669,0.4600774545755337,3,0.0035582616919280947,0.009811746594465197,[64],10,18,5.929535159645735e-06,COMPLETE
25,inf,2026-02-11 22:48:06.209544,2026-02-11 22:48:06.494523,0 days 00:00:00.284979,64,0.3429533909214738,0.46274800120488874,3,3.498858204020434e-05,0.0016581069565247603,"[256, 256]",10,6,8.932273847588728e-06,COMPLETE
26,inf,2026-02-11 22:48:06.755057,2026-02-11 22:48:06.803909,0 days 00:00:00.048852,32,0.12306543595105371,0.4506648706912759,2,0.0028795149892071052,0.001987204552782561,"[256, 256, 256]",10,18,3.945387487168286e-06,COMPLETE
27,inf,2026-02-11 22:48:06.775001,2026-02-11 22:48:06.807916,0 days 00:00:00.032915,64,0.2288163696794242,0.2329036801199061,2,0.0005059835482332615,0.00785416261549385,"[64, 64]",10,6,4.0826938102390785e-06,COMPLETE
28,inf,2026-02-11 22:48:07.355787,2026-02-11 22:48:07.392904,0 days 00:00:00.037117,64,0.19308960933397695,0.2223504492278817,2,0.0001703863413009771,0.009203684076505344,[256],5,6,7.118860085702622e-06,COMPLETE
29,inf,2026-02-11 22:48:07.368789,2026-02-11 22:48:07.398691,0 days 00:00:00.029902,64,0.20549784698132428,0.28442696200245743,2,9.953377634229378e-05,0.005872503227476658,[256],5,3,3.0330156210881065e-06,COMPLETE
30,inf,2026-02-11 22:48:07.400696,2026-02-11 22:48:07.670274,0 days 00:00:00.269578,16,0.23664245377688892,0.49830491092728724,3,0.0054926959143042214,0.0008418500010827547,"[256, 256]",10,18,3.082200975495583e-05,COMPLETE
31,inf,2026-02-11 22:48:08.175703,2026-02-11 22:48:08.481084,0 days 00:00:00.305381,64,0.16272511364390208,0.4472318338012714,4,0.00020137139153076305,0.0015019491539135694,[64],5,12,1.6803152792632603e-06,COMPLETE
32,inf,2026-02-11 22:48:08.177854,2026-02-11 22:48:08.481084,0 days 00:00:00.303230,64,0.11214078958098697,0.3827245017692029,4,4.317275975537833e-05,0.002926681526996086,"[128, 128]",5,12,1.2313512942819592e-06,COMPLETE
33,inf,2026-02-11 22:48:08.481084,2026-02-11 22:48:08.515260,0 days 00:00:00.034176,32,0.37002457036181285,0.31875003677184044,3,0.0003725861251319246,0.0008355580716448893,"[64, 64, 64]",10,6,1.1071034231045056e-05,COMPLETE
34,inf,2026-02-11 22:48:08.770888,2026-02-11 22:48:08.797444,0 days 00:00:00.026556,32,0.283567023658527,0.3338309846018662,3,1.7652089246778844e-05,0.0014128119499858824,[128],5,3,1.2599685443968616e-05,COMPLETE
35,inf,2026-02-11 22:48:09.056303,2026-02-11 22:48:09.076603,0 days 00:00:00.020300,32,0.254268530623899,0.36621812186011293,3,0.00010757633014849547,0.0041874517912947095,"[256, 256]",5,6,9.173691859632896e-06,COMPLETE
36,inf,2026-02-11 22:48:09.644157,2026-02-11 22:48:09.661353,0 days 00:00:00.017196,32,0.36297333806798526,0.23339661421940514,2,0.00017832174725689533,0.0021493883756059586,[256],5,3,4.406122503171936e-06,COMPLETE
37,inf,2026-02-11 22:48:09.910065,2026-02-11 22:48:10.216256,0 days 00:00:00.306191,64,0.3165627245680598,0.23628876826001718,3,0.0007638836694215405,0.0023870996795534354,"[256, 256]",5,12,6.2654269626480195e-06,COMPLETE
38,inf,2026-02-11 22:48:09.928405,2026-02-11 22:48:10.222255,0 days 00:00:00.293850,16,0.30202119510943554,0.35926356352845595,3,7.019926444851748e-05,0.006869821235363129,"[128, 128]",10,6,5.181981214000243e-06,COMPLETE
39,inf,2026-02-11 22:48:10.487508,2026-02-11 22:48:10.527092,0 days 00:00:00.039584,32,0.21624335482316123,0.3780351195163443,5,0.00029695854461010576,0.0017893072667160867,[128],5,12,3.044035446156851e-06,COMPLETE
40,inf,2026-02-11 22:48:10.507095,2026-02-11 22:48:11.047565,0 days 00:00:00.540470,32,0.3365937885979656,0.3643287808972578,3,4.3831624056990424e-05,0.003434420182987731,"[256, 256]",10,12,4.81025861291252e-06,COMPLETE
41,inf,2026-02-11 22:48:11.051653,2026-02-11 22:48:11.317397,0 days 00:00:00.265744,16,0.24366618331452952,0.3926265832383268,3,6.456066138886808e-05,0.00481038761504218,"[64, 64]",10,24,5.0317028667197223e-05,COMPLETE
42,inf,2026-02-11 22:48:11.322514,2026-02-11 22:48:11.346543,0 days 00:00:00.024029,32,0.14915997925770977,0.35098995809206046,4,3.309095550607986e-05,0.0011792116701021026,[64],5,18,2.0196610705315512e-06,COMPLETE
43,inf,2026-02-11 22:48:11.590323,2026-02-11 22:48:11.892538,0 days 00:00:00.302215,64,0.26944204249126413,0.2879047854691493,3,0.0005698295038836825,0.004688330487786305,"[64, 64]",10,24,7.332771125981668e-05,COMPLETE
44,inf,2026-02-11 22:48:11.591326,2026-02-11 22:48:11.890531,0 days 00:00:00.299205,32,0.22720096842444765,0.38609717749579275,3,0.0006732842328962085,0.0016427969126982657,"[128, 128]",10,24,4.379172753255439e-05,COMPLETE
45,inf,2026-02-11 22:48:11.894537,2026-02-11 22:48:11.931540,0 days 00:00:00.037003,32,0.29004751839986237,0.40834196582832233,4,2.93421501854875e-05,0.005344165127490481,[128],10,6,5.572086929524101e-06,COMPLETE
46,inf,2026-02-11 22:48:11.914221,2026-02-11 22:48:11.937252,0 days 00:00:00.023031,64,0.3395746470269362,0.2550255903763545,2,0.0005815808146222483,0.010877214242781048,[256],5,18,6.766590262383835e-06,COMPLETE
47,inf,2026-02-11 22:48:12.696645,2026-02-11 22:48:13.027406,0 days 00:00:00.330761,64,0.1381276177847376,0.36838378884116396,5,9.591845466595935e-05,0.0009996398796155515,"[64, 64, 64]",5,6,1.5077578291045076e-06,COMPLETE
48,inf,2026-02-11 22:48:12.702877,2026-02-11 22:48:13.055544,0 days 00:00:00.352667,16,0.24204615322052014,0.2793140104068282,3,0.0006049939012884556,0.008020760054492622,"[64, 64, 64]",10,24,7.4751973721201315e-06,COMPLETE
49,inf,2026-02-11 22:48:13.014214,2026-02-11 22:48:13.070731,0 days 00:00:00.056517,16,0.27066978677475634,0.4038632822071128,3,0.0021355035262826624,0.006236624131828528,"[64, 64, 64]",10,24,1.595929103935536e-05,COMPLETE
50,inf,2026-02-11 22:48:13.024408,2026-02-11 22:48:13.103894,0 days 00:00:00.079486,16,0.2949021328768152,0.3315515411967328,5,0.0006004453070852604,0.003907325802310597,"[64, 64]",10,3,6.317000527197607e-05,COMPLETE
51,inf,2026-02-11 22:48:13.629913,2026-02-11 22:48:13.921439,0 days 00:00:00.291526,32,0.1680738187420229,0.21598221996206385,3,9.47972793054999e-05,0.04209959241823498,[128],5,6,6.132982345872949e-06,COMPLETE
52,inf,2026-02-11 22:48:13.915192,2026-02-11 22:48:14.263356,0 days 00:00:00.348164,32,0.25222745319083095,0.24379187606568814,5,0.000223474125553001,0.010818685817498973,[128],5,6,4.058346833636923e-06,COMPLETE
53,inf,2026-02-11 22:48:14.263356,2026-02-11 22:48:14.296761,0 days 00:00:00.033405,64,0.2147318896840632,0.45614398001544915,5,0.005923075201102764,0.0026801318205264286,"[128, 128]",10,18,3.43829134045582e-05,COMPLETE
54,inf,2026-02-11 22:48:14.540028,2026-02-11 22:48:14.853674,0 days 00:00:00.313646,32,0.1803000691544361,0.46632355242542156,3,0.005654926118876091,0.0023846245734941373,"[256, 256]",10,6,1.5888060958695544e-05,COMPLETE
55,inf,2026-02-11 22:48:14.542028,2026-02-11 22:48:14.855785,0 days 00:00:00.313757,32,0.17620252846252002,0.42889979371721515,3,0.004321372828849195,0.004644773975741823,"[128, 128, 128]",10,18,1.3525312026987046e-05,COMPLETE
56,inf,2026-02-11 22:48:15.154662,2026-02-11 22:48:15.177637,0 days 00:00:00.022975,32,0.2778068938381306,0.21221239789283938,3,0.0003591381264511439,0.0038688784204482427,[128],5,6,1.5371430972448425e-05,COMPLETE
57,inf,2026-02-11 22:48:15.496688,2026-02-11 22:48:15.784592,0 days 00:00:00.287904,32,0.31349583213663984,0.43558639940601035,3,1.580363644378732e-05,0.0007734081859504382,"[128, 128]",10,6,1.53387407940644e-05,COMPLETE
58,inf,2026-02-11 22:48:15.792066,2026-02-11 22:48:16.075084,0 days 00:00:00.283018,32,0.1238288126065007,0.48355274746920845,4,0.0033775141254536773,0.001855589921846553,"[256, 256]",10,18,9.103709993207756e-06,COMPLETE
59,inf,2026-02-11 22:48:16.352636,2026-02-11 22:48:16.368548,0 days 00:00:00.015912,32,0.20243590343786422,0.4089948901635024,3,1.9547129011439746e-05,0.0011849360311062137,"[256, 256]",10,6,8.664672812000852e-06,COMPLETE
60,inf,2026-02-11 22:48:16.647122,2026-02-11 22:48:16.954590,0 days 00:00:00.307468,16,0.1137231385624185,0.23783800923823134,3,0.0007937079735040925,0.013232161660353198,[128],5,18,9.526992413280435e-06,COMPLETE
61,inf,2026-02-11 22:48:16.672000,2026-02-11 22:48:16.985555,0 days 00:00:00.313555,32,0.20306630411187174,0.23670436219671373,3,0.008802958209837565,0.017274794856559285,"[256, 256]",5,6,1.82291798230315e-05,COMPLETE
62,inf,2026-02-11 22:48:16.958590,2026-02-11 22:48:16.999542,0 days 00:00:00.040952,64,0.23167620115021761,0.444063235718666,2,2.7519624825231348e-05,0.02571978336846969,"[64, 64]",10,12,1.637155104977999e-06,COMPLETE
63,inf,2026-02-11 22:48:16.985555,2026-02-11 22:48:17.003542,0 days 00:00:00.017987,64,0.16978172603784994,0.47541504809356927,2,3.1727868479085105e-05,0.022052911114594172,"[64, 64]",10,12,1.6475502463096498e-05,COMPLETE
64,inf,2026-02-11 22:48:17.863431,2026-02-11 22:48:18.211210,0 days 00:00:00.347779,64,0.2647830957472645,0.4577162609614889,4,2.688536854802255e-05,0.03474154553187729,"[64, 64]",5,12,1.2660314842935049e-05,COMPLETE
65,inf,2026-02-11 22:48:17.877226,2026-02-11 22:48:18.214671,0 days 00:00:00.337445,64,0.13354227251348116,0.41059510837180685,3,0.006359391921703271,0.0007759380540053023,"[256, 256]",10,18,3.9403428874266645e-06,COMPLETE
66,inf,2026-02-11 22:48:18.475905,2026-02-11 22:48:18.511768,0 days 00:00:00.035863,64,0.2398670339663987,0.2385382087512161,4,0.0002787699516458652,0.0030440775739910735,[256],5,24,5.401041214766441e-06,COMPLETE
67,inf,2026-02-11 22:48:18.478403,2026-02-11 22:48:18.514182,0 days 00:00:00.035779,32,0.21164389501657285,0.2006192102533471,3,0.00024105215220064324,0.011877589486382855,"[256, 256, 256]",5,3,4.614306669519208e-06,COMPLETE
68,inf,2026-02-11 22:48:18.765457,2026-02-11 22:48:18.790285,0 days 00:00:00.024828,32,0.18105213403645598,0.42933664665509536,3,0.009303642019128878,0.0024561789042742066,"[256, 256]",10,18,7.419630502356009e-06,COMPLETE
69,inf,2026-02-11 22:48:19.057921,2026-02-11 22:48:19.360887,0 days 00:00:00.302966,16,0.17118712193999897,0.34107040800581045,3,8.331955990394292e-05,0.0010077154985144636,"[64, 64, 64]",10,24,5.4439018190533916e-05,COMPLETE
70,inf,2026-02-11 22:48:19.338649,2026-02-11 22:48:19.626383,0 days 00:00:00.287734,64,0.30895577575908545,0.49701731672844146,5,8.706167797590194e-05,0.022491150186924113,[128],10,24,1.2210899657694369e-05,COMPLETE
71,inf,2026-02-11 22:48:19.618387,2026-02-11 22:48:20.160458,0 days 00:00:00.542071,16,0.22884918523559322,0.3648812821469113,4,3.577311202306873e-05,0.0019173956649654387,[64],5,12,1.4439201749302884e-06,COMPLETE
72,inf,2026-02-11 22:48:19.893333,2026-02-11 22:48:20.188280,0 days 00:00:00.294947,64,0.11048136767748083,0.21517260686684125,2,1.45370795240426e-05,0.010101093284609038,"[256, 256, 256]",10,18,2.845917833115491e-06,COMPLETE
73,inf,2026-02-11 22:48:20.481807,2026-02-11 22:48:20.822416,0 days 00:00:00.340609,64,0.15231054788739964,0.20188672873697272,4,1.6082012641190676e-05,0.0024329531286551237,"[256, 256]",10,18,1.659090474271898e-05,COMPLETE
74,inf,2026-02-11 22:48:20.489419,2026-02-11 22:48:20.893850,0 days 00:00:00.404431,64,0.12078698932261173,0.2191752263833761,3,1.853036405170486e-05,0.001733940593737401,"[256, 256, 256]",10,18,1.1838459678213705e-05,COMPLETE
75,inf,2026-02-11 22:48:20.525753,2026-02-11 22:48:21.181106,0 days 00:00:00.655353,64,0.12291057737422446,0.23108565196020883,4,2.3502111184930586e-05,0.00438775234165334,"[256, 256, 256]",5,18,1.6669292953662294e-05,COMPLETE
76,inf,2026-02-11 22:48:20.816307,2026-02-11 22:48:20.881850,0 days 00:00:00.065543,16,0.2572615482511811,0.4546246027698872,2,2.0545013090018643e-05,0.010133714192655336,"[64, 64, 64]",10,12,9.926568013478114e-06,COMPLETE
77,inf,2026-02-11 22:48:21.444479,2026-02-11 22:48:21.737981,0 days 00:00:00.293502,16,0.2134090608293586,0.334715855761734,3,0.001359241613304547,0.0032116312095624207,"[64, 64]",10,24,2.6657597924449172e-05,COMPLETE
78,inf,2026-02-11 22:48:21.744981,2026-02-11 22:48:22.055482,0 days 00:00:00.310501,64,0.17821715001616456,0.2778515198900361,2,2.1641712815827697e-05,0.004559853520882641,"[64, 64]",10,18,1.9884944254167693e-05,COMPLETE
79,inf,2026-02-11 22:48:22.008665,2026-02-11 22:48:22.342153,0 days 00:00:00.333488,32,0.29124441549770114,0.27500525562958067,3,2.2675869118656623e-05,0.003847220376336277,"[256, 256, 256]",10,6,3.125723697653674e-06,COMPLETE
80,inf,2026-02-11 22:48:22.331751,2026-02-11 22:48:22.695123,0 days 00:00:00.363372,32,0.31410576174529553,0.3625240089743154,3,2.0352835903864194e-05,0.0067903209405756485,"[64, 64]",10,6,1.3340106472363604e-05,COMPLETE
81,inf,2026-02-11 22:48:22.663400,2026-02-11 22:48:22.998054,0 days 00:00:00.334654,16,0.11852413858159094,0.22123552475697095,2,1.85506818976431e-05,0.0025050052942288733,"[256, 256, 256]",10,18,2.0447831535064847e-05,COMPLETE
82,inf,2026-02-11 22:48:22.996571,2026-02-11 22:48:23.289478,0 days 00:00:00.292907,64,0.36862671255366347,0.3643568717432273,4,0.00041510077207274976,0.008696131389011201,[256],10,18,2.3782314030385043e-05,COMPLETE
83,inf,2026-02-11 22:48:23.283190,2026-02-11 22:48:23.580942,0 days 00:00:00.297752,64,0.2933170604157092,0.2759049231549428,2,0.0001974336817018802,0.004533057589442989,[256],5,6,1.5055183912830267e-06,COMPLETE
84,inf,2026-02-11 22:48:23.580942,2026-02-11 22:48:23.975181,0 days 00:00:00.394239,64,0.15894375371757838,0.2769957947837343,2,5.525757190607219e-05,0.0031377555046991344,"[256, 256, 256]",10,12,1.1529120146954207e-05,COMPLETE
85,inf,2026-02-11 22:48:23.593268,2026-02-11 22:48:23.971181,0 days 00:00:00.377913,64,0.15137720816470593,0.3798737807808141,4,0.00011492445063018569,0.002349403337947591,[64],10,24,4.644619751898043e-06,COMPLETE
86,inf,2026-02-11 22:48:24.237304,2026-02-11 22:48:24.855706,0 days 00:00:00.618402,64,0.24953371475462033,0.4259979491459471,4,9.63742515812265e-05,0.0013252007353955777,"[256, 256, 256]",5,18,2.0134549184215078e-06,COMPLETE
87,inf,2026-02-11 22:48:24.858618,2026-02-11 22:48:25.147501,0 days 00:00:00.288883,64,0.3748514155776259,0.4575541697036888,3,3.534831599192668e-05,0.015070703829408071,"[128, 128]",10,12,8.828210171053185e-06,COMPLETE
88,inf,2026-02-11 22:48:24.861227,2026-02-11 22:48:25.201519,0 days 00:00:00.340292,64,0.23771991762817263,0.44990716101313466,5,9.400703137261927e-05,0.031014115381391677,"[128, 128]",10,12,5.2758190832184365e-06,COMPLETE
89,inf,2026-02-11 22:48:25.147501,2026-02-11 22:48:25.239127,0 days 00:00:00.091626,32,0.1663468436803403,0.20086402613279036,4,0.0015140991575309539,0.016505389536241897,[128],10,6,1.0725855160634628e-05,COMPLETE
90,inf,2026-02-11 22:48:25.155917,2026-02-11 22:48:25.199520,0 days 00:00:00.043603,32,0.3919245336236182,0.4162263908553214,4,2.6322354773456814e-05,0.013166080111305411,"[128, 128, 128]",10,18,3.235858441964197e-05,COMPLETE
91,inf,2026-02-11 22:48:25.742567,2026-02-11 22:48:26.104963,0 days 00:00:00.362396,16,0.1304537851733832,0.33021666635092506,3,0.00583883158038874,0.0005123085479490382,[256],5,24,3.717299476039799e-06,COMPLETE
92,inf,2026-02-11 22:48:26.075996,2026-02-11 22:48:26.357053,0 days 00:00:00.281057,16,0.10490459067630561,0.23863878396981014,3,0.0002121407865866019,0.0008347291482229618,[256],5,24,5.32641976776715e-06,COMPLETE
93,inf,2026-02-11 22:48:26.668585,2026-02-11 22:48:26.952947,0 days 00:00:00.284362,16,0.19056697554142782,0.29675204710007647,5,0.0003839537793656521,0.0007603761128163897,"[128, 128]",5,24,2.4699976114959983e-06,COMPLETE
94,inf,2026-02-11 22:48:26.942559,2026-02-11 22:48:27.313570,0 days 00:00:00.371011,64,0.2588230713488581,0.48485059167859196,2,0.00018644296779741443,0.006897668446324357,"[256, 256]",10,12,5.385968486382567e-06,COMPLETE
95,inf,2026-02-11 22:48:26.945563,2026-02-11 22:48:27.288343,0 days 00:00:00.342780,64,0.3231604115429817,0.45998880254152963,2,0.00010700764247236302,0.03401523532422929,"[64, 64]",10,12,1.1729912152039511e-05,COMPLETE
96,inf,2026-02-11 22:48:27.281504,2026-02-11 22:48:27.575792,0 days 00:00:00.294288,16,0.2742012538641218,0.370163411247817,2,0.0003150697041191905,0.0006694114207556116,[256],5,24,2.140183555462775e-05,COMPLETE
97,inf,2026-02-11 22:48:27.569529,2026-02-11 22:48:27.926858,0 days 00:00:00.357329,64,0.398288178535458,0.4062763233046294,3,0.0006224268266008826,0.012074920747470465,"[256, 256]",10,18,1.4731860247244122e-05,COMPLETE
98,inf,2026-02-11 22:48:27.934760,2026-02-11 22:48:28.221001,0 days 00:00:00.286241,32,0.23179112528636286,0.22185213841067541,3,0.0005849531600666792,0.000510337553979427,[256],5,24,6.129562423547996e-06,COMPLETE
99,inf,2026-02-11 22:48:28.211210,2026-02-11 22:48:28.236688,0 days 00:00:00.025478,16,0.15799491185309084,0.2904766852451249,3,0.0005054031705634077,0.0011839865028727922,[128],5,24,5.288421426915471e-06,COMPLETE
